,id,trial,gender,group,age,time,trial_type1,trial_type2,trial_type3,trial_type4,trial_type5,trial_type6,trial_type7,trial_type8,trial_type9,trial_type10,trial_type11,trial_type12,trial_type13,trial_type14,trial_type15,trial_type16,trial_type17,trial_type18,trial_type19,trial_type20,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,rt11,rt12,rt13,rt14,rt15,rt16,rt17,rt18,rt19,rt20,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10,accuracy11,accuracy12,accuracy13,accuracy14,accuracy15,accuracy16,accuracy17,accuracy18,accuracy19,accuracy20,avg_incongruent,avg_congruent,acc_incongruent,acc_congruent
20,11,1,M,control,29,09:13:54,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,1.87511706352234,1.05057001113892,1.12126398086548,1.73443603515625,1.8921070098877,1.17657399177551,1.31870603561401,1.23184609413147,1.31007504463196,1.78151917457581,1.31815981864929,1.11454296112061,1.49866700172424,1.38155317306519,0.910001754760742,1.12140798568726,2.12716007232666,1.19224214553833,1.68745756149292,1.07431602478027,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3786171043620397,1.4937440554300967,0.85,0.15
21,11,2,M,control,29,09:20:30,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,1.39537215232849,1.90487599372864,1.51459097862244,1.41903471946716,1.92287635803223,1.05075931549072,1.18469190597534,0.987874031066895,1.18396711349487,1.19192099571228,1.30295491218567,1.33381915092468,1.066978931427,1.0030198097229,0.964004755020142,1.44346690177917,1.11397814750671,1.45114707946777,0.869925260543823,1.79674196243286,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.245413933481488,1.44436756769816,0.7,0.3
22,12,1,M,control,22,12:24:27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,3.80884575843811,1.44198393821716,1.64734530448914,1.98619985580444,1.33330202102661,1.23808193206787,1.49052691459656,1.73378705978394,2.03269696235657,2.65363383293152,1.90760183334351,1.54560112953186,1.36430811882019,1.44293308258057,1.92249298095703,0.925474882125855,1.23878908157349,0.971734762191772,1.49845719337463,1.23919010162354,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.6190474331378946,1.2364606857299807,0.8,0.15
23,12,2,M,control,22,12:32:44,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,2.16612505912781,1.23102903366089,1.27824711799622,1.01121497154236,1.01847624778748,1.2068989276886,1.4352560043335,1.30907511711121,1.19134283065796,1.56198620796204,1.39569997787476,1.08981704711914,0.94936203956604,1.41923403739929,1.01889991760254,1.43566608428955,1.08246779441834,1.05039119720459,1.24689102172852,1.64829015731812,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.285660669207575,1.29395002126694,0.8,0.2
24,13,1,M,control,23,12:53:36,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.16147589683533,2.79512500762939,1.66390013694763,1.27849411964417,1.47490501403809,1.23160982131958,1.27056813240051,1.83678817749023,1.25548791885376,1.29531311988831,1.50627207756042,1.52253198623657,1.23934626579285,1.28595900535584,1.30262589454651,0.971919059753418,1.22351098060608,0.932790994644165,1.0423002243042,1.39665365219116,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.31449125872718,2.013367414474485,0.9,0.1
25,13,2,M,control,23,12:56:00,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1.27752804756165,1.75041913986206,1.38038301467896,0.925088167190552,1.8677830696106,1.49145483970642,0.956141710281372,1.05088996887207,1.16105318069458,1.12105798721313,1.16860961914063,1.43616008758545,1.08938503265381,0.979779005050659,0.940022945404053,1.17657113075256,1.16019725799561,1.33338093757629,0.979014158248901,1.20833086967468,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.2285151341382199,1.1894976298014328,0.85,0.15
26,31,1,M,control,26,10:01:03,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,1.941048861,2.111069679,1.794070005,1.565849781,1.767048359,1.314768553,0.97497654,2.038526297,1.50721693,1.299113274,1.520154715,1.823907614,1.484370708,1.040594816,1.330091476,0.891905546,1.978683949,1.024142027,1.144704819,1.550774097,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.6343372379285714,1.2037161191666668,0.7,0.3
27,31,2,M,control,26,10:07:16,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.606055737,1.321624756,1.165719271,1.811151981,0.975091457,1.514893532,1.337548733,1.256523848,1.610914469,1.83927989,1.063544035,1.557748318,0.864743948,1.566890001,1.654068947,1.496730804,1.158677816,1.292004108,1.101215124,1.62462616,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.381692786,1.566890001,0.95,0.05
28,32,1,M,control,25,10:43:04,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,1.137867212,1.969964981,1.613369703,1.179210186,1.376721859,2.226018906,2.278913736,2.077143192,1.634626389,1.558754683,2.171197414,1.059452534,1.655689478,1.497587204,1.858710289,2.624575853,2.183857679,1.577735186,1.084599495,1.401511192,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.7795475720625002,1.4236865045,0.8,0.2
29,32,2,M,control,25,10:51:32,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,1.994986296,3.09928894,1.032664061,1.696624041,1.612720013,2.463045835,1.166208982,2.043115139,1.136693954,0.971682787,2.021095514,1.422624826,0.899095535,1.317154408,1.358377218,1.961187124,0.699669361,1.434788227,1.966819525,0.758935452,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.6388848560000002,1.3930391585714286,0.65,0.35
